id,text
1261656199432470529," The Netherlands no masks less people sick and less people died, Sweden less people sick less people died. Stay in fear to get sick, fact is elderly and people who have a bad health can get COVID-19 healthy people maybe."
1261791768154161155,At the level of coronavirus where my child put a tortilla up to her face and said “mask” 🤦🏼♀️😂 
1261481296615874561,100% of your contribution goes to supplying masks to healthcare workers — every $2 you donate sends an N95 mask to a healthcare worker. Will you help? 
1261775075201691649, If this continues half the police force will catch covid 19. Talk about social distancing face masks..all out of the window. Prevention is better than cure.
1261482383724941314,"“Jeans before masks, cookies before sneeze guards: Corporate America is failing workers during the pandemic” "
1261609545614405632,"Some, erm, helpful advice for those wearing masks.  👍🏻 For a more technical version of how to wear a mask: "
1261601724961378307," Not sure of any, but there was an inactive US mask factory that could have been activated within the time frame. China built 2 massive Coronavirus hospitals (1,600 & 800 beds) in just over a week. Clear failure of leadership in the US & failure to lead the world on this crisis."
1261680619102310402,Folks that is only one County. Imagine what the Nationwide numbers are. We are wide open in Georgia. Like it never happened. Other than the CNN followers wearing masks. Idiots!
1261679532525981697,"This latest bill is egregious, the left hates white people so much and they can’t seem to keep the mask from sliding off during this whole pandemic. They want you DEAD, whitey. Never forget that."
1261610287515516930,BREAKING NEWS Wearing a mask inside your home is now highly recommended. Not so much to prevent Covid-19 but to stop eating. 😂😂
1261718908157001730, We have a governor telling people that a mask will protect you FROM Covid? Really?
1261760094741594113,Men are less likely to wear masks – another sign that toxic masculinity kills 
1261487053587410945, There have been 6 deaths in your county from Covid. Tell those families a mask is too much.
1261675598814097412,"Just saw five police arrive with no PPE to administer narcan. Got here very fast but a mask would seem at least appropriate. One to do it, four to watch, I guess."
1261636450476589056,Look at the sheer number of Police Officers present to arrest Jeremy Corbyn's brother Piers at Hyde Park corner for taking part in the Lockdown protest. No masks to protect themselves or the public & the officer handling the loudspeaker Piers Corbyn had isn't wearing gloves. 🤦♂️ 
1261703010696208385,"Pakistan resumes domestic flights, insists on masks and empty seats  "
1261458406054871040,"Nope Masks are a way to demonstrate to others your commitment to healthy practices during the Pandemic.Not wearing a mask is no different than hoarding food, metals during a war.Of course decide: Patriot or selfish... Mrs. Claus thinks being selfish saves U.S.; did our Founders?"
1261539505149890560,to hell with the mask and cornKOBE
1261458858716921857,Stay home! Stay safe.. at least wear a mask and wash your hands...
1261759717409505287, Hey one of your CT employees is admitting to not adhering to coronavirus safety guidelines by not working with a mask. I recommend a company wide education before investigative journalists come looking for an easy story.
1261643812578918407,New study questions the effectiveness of masks against SARS-CoV-2  
1261637393205125120,"Funny how they both were ""maskless"" during early briefings, but now, with reopening imminent, the masks are in place. "
1261711699264131073,"  where is SOCIAL DISTANCING here!!!!? Are they going to be prosecuted as putting police and everyone else at risk of Covid? Shouting, no masks,nothing!!!!"
1261736070179254273,"OH two shoppers just casually talking about people they knew were sick due to COVID-19, both of them didn’t have any mask on too. It’s a grocery store, not a place to hang out."
1261507517349232640,Coronavirus pandemic: True freedom- lovers wear face masks 
1261757348319649793,Shopping at Wal-Mart today. *No one observing their stupid directional arrows. *60% or more non-employees without masks *People well inside 6' *Older woman w mask pulls it down below nose to ask Mrs LS about books
1261447488407388161,"“6 opposition activists arrested in #Cameroon for distributing face masks & disinfectant gel, their lawyers & said Friday”. Eh Camer! Even inside #COVID19 we get opposition. Hopefully Covid respects itself & doesn’t befriend the opposition "
1261558850790055936, & his crazy lunatic bunch! Should be a weekend of nonsense & full on ass kissing which will result in absolutely nothing! Great expenditure of tax payers money. Hope no one brings COVID-19 with them because you know masks won't be required. That would be a shame!
1261523270169440256,"Healthcare workers facing COVID-19 are doing their jobs under extraordinary levels of stress. But as teams find themselves unable to protect themselves with PPEs like masks and gowns, job performance may suffer.   #covid19 #healthnews"
1261770653365084161,Dear  Can you please explain how a face mask works in stores where everyone and their dog has handled the merchandise? I’ll wait. #overit
1261762037996302340,I've been trying not to scream out with this bad back of mine... just in case the neighbours hear and think it's murder... but the odd scream between doses o painkillers slips out!  Should I let it all out or muffle it with a covid mask?!!!  🤣Going slowly mad!!
1261448973266501633,", is a serious spreader of #Covid. It should be shut down now. Printers & distributors have #Covid. Delivery people touch papers when folding & wrapping. Do they have masks at 4:00 am? Yawn? Sneeze? Delivery to subscribers who are OLD! "
1261469796249419777,"A Buddhist temple in Pathum Thani, just outside #Bangkok, has adorned its #Buddha statue with a face mask to remind passersby to wear a mask when they venture outdoors. #Coronavirus "
